表格ID：Custom_SinglePopulation
標題：五齡人口數
更新日期：2026.08.28
下載日期：2026.09.02 13:55
查詢年份：1992~2075
資料來源：國家發展委員會
中華民國人口推估
來源網址：https://pop-proj.ndc.gov.tw/Custom_Detail_Statistics_Search.aspx?n=39&_Query=dd898a76-e054-497c-9231-8d0be078995a

,,,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
推估情境,性別,年齡,統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人)
高推估,男性,0-4歲,848534,838993,836012,828904,828407,831971,804753,784903,776698,743975,704807,684174,650216,598086,571699,550561,536491,523013,503400,498746,511559,512213,520880,545209,550649,529720,522390,505739,479321,448275,420168,401133,381067,353613,322752,298535,274930,249358,236069,229027,223925,219065,214782,211279,208525,206655,205542,205128,205387,206282,207748,209727,212121,214754,217399,219807,221706,222872,223119,222327,220453,217497,213497,208595,202958,196803,190387,183935,177668,171591,165876,160611,155870,151676,148229,145484,143398,141914,140951,140417,140212,140251,140463,140774
高推估,男性,5-9歲,882271,863197,837095,832631,842803,849722,842641,848731,841773,842623,843183,812247,791835,783379,749063,709220,689226,656333,605233,579777,558811,543718,530701,510204,506111,521151,519411,528204,551328,551480,528980,528263,511337,483955,457548,428381,405214,385200,358792,327731,303467,279905,254443,241191,234177,229106,224293,220073,216643,213973,212191,211178,210871,211245,212266,213860,215973,218509,221276,224054,226589,228605,229881,230223,229517,227718,224828,220893,216049,210466,204366,198007,191616,185407,179383,173727,168527,163851,159726,156352,153677,151665,150249,149355
高推估,男性,10-14歲,1042014,1026965,1006634,971636,916435,871942,856638,830111,831160,842567,849202,840744,846780,839692,840418,841204,810883,790956,782666,748622,709152,689170,656183,605073,579306,558086,542920,529859,508411,500477,512976,517742,527548,550471,554299,533553,525843,508250,482049,456564,427946,405066,385145,358873,327969,303844,280405,255067,241894,234938,229923,225169,221008,217633,215015,213285,212324,212069,212495,213564,215203,217362,219935,222743,225561,228134,230190,231505,231892,231238,229496,226658,222778,217998,212479,206441,200141,193805,187657,181688,176085,170934,166303,162219
高推估,男性,15-19歲,955702,977797,1011303,1032061,1027808,1034479,1022518,997692,964868,910170,866630,850160,823881,825590,837559,844751,837112,843652,836734,837814,839044,809139,789321,781104,747320,707868,687961,655005,602819,574085,551330,541235,528930,507119,502236,516592,514747,523684,547698,552550,532511,525133,507616,481521,456135,427628,404846,385011,358847,328060,304030,280685,255448,242342,235437,230468,225758,221641,218309,215734,214041,213119,212902,213359,214458,216126,218308,220904,223732,226567,229159,231237,232576,232986,232359,230642,227837,223996,219248,213763,207758,201492,195191,189074
高推估,男性,20-24歲,952881,939178,922677,911104,935259,948608,972277,1002156,1023835,1018859,1026165,1012438,988195,956187,902971,860639,845169,819263,821067,832933,840354,833182,839945,833406,834607,835784,806031,786337,777563,741685,701233,684099,651847,600272,574192,552905,537679,524649,504358,500334,515152,513610,522550,546504,551379,531453,524137,506717,480751,455490,427119,404447,384714,358671,328016,304097,280860,255736,242705,235856,230937,226275,222201,218911,216375,214719,213835,213648,214131,215252,216940,219140,221753,224601,227454,230063,232153,233508,233938,233334,231641,228862,225051,220333
高推估,男性,25-29歲,990251,978571,967512,962374,946727,940902,928765,915210,905239,930094,943791,967088,996749,1018399,1014502,1022008,1009260,985114,953304,899967,857626,842171,816522,818133,829814,836819,829259,835899,828469,825351,824703,800683,781870,773172,739261,700126,680385,647767,597104,571777,550958,536006,523076,502907,498941,513750,512251,521197,545104,550004,530189,522942,505625,479785,454649,426410,403850,384216,358289,327768,303956,280821,255804,242841,236039,231159,226533,222495,219233,216729,215099,214238,214069,214569,215703,217406,219622,222246,225102,227960,230575,232674,234038,234480
高推估,男性,30-34歲,983486,994422,999784,999400,996496,980473,971092,962506,957030,943317,936397,921888,907862,897966,923631,937762,961387,990622,1012113,1007873,1015792,1003345,979985,948459,895355,852994,837430,811836,812698,819451,823488,823350,831003,823739,824394,825284,795813,776478,768697,735706,697212,677804,645405,595040,569887,549216,534386,521562,501524,497624,512433,510988,519952,543822,548750,529052,521874,504661,478950,453933,425819,403369,383829,358016,327616,303905,280863,255939,243037,236276,231431,226836,222830,219596,217119,215514,214674,214525,215040,216184,217895,220121,222751,225613
高推估,男性,35-39歲,892329,912226,932906,945331,954943,975340,989035,992806,990211,988598,971469,960123,951254,945670,932908,926562,913095,899207,889468,914496,928490,952401,982359,1004245,1000692,1009075,996693,973587,941428,884401,839523,831586,807507,808771,819757,826349,818590,824976,818409,819674,820992,791970,772877,765279,732589,694426,675211,643069,593060,568121,547640,532962,520275,500393,496589,511424,510062,519068,542909,547885,528334,521240,504146,478583,453715,425745,403419,383995,358305,328042,304436,281498,256684,243853,237144,232342,227789,223823,220625,218176,216601,215782,215655,216192
高推估,男性,40-44歲,722576,770835,810417,848300,865339,878916,900056,919603,931580,941127,960079,971638,975195,972854,972298,956057,945857,937285,932140,919426,912991,899869,886945,877836,903230,917671,941853,972012,993290,985293,990550,986636,965271,934500,882142,840492,825411,800190,801576,812806,819620,812217,818719,812420,813862,815357,786713,767937,760597,728316,690611,671635,639847,590362,565731,545527,531070,518583,498916,495257,510155,508910,517977,541751,546781,527454,520464,503539,478193,453534,425779,403632,384381,358871,328802,305347,282563,257925,245205,238572,233832,229339,225427,222276
